"" "log2FoldChange" "padj" "log2FoldChange" "padj" "batpvals_coldmale_adj" Amb&Conserved
"ENSMUSG00000000056" 0.37208420569349 0.00232960215256377 0.210891312491913 0.426380764636162 0.754196057382863 Amb&Conserved
"ENSMUSG00000000058" -0.0802667909673412 0.761124363062107 -0.152229504433421 0.157513597553176 0.87400978744028 Amb&Conserved
"ENSMUSG00000000088" -0.0237226303313195 0.948697648383532 0.0684108000114294 0.359025115208309 0.591457572137061 Amb&Conserved
"ENSMUSG00000000120" 0.139461358696204 0.68504332256487 0.238733352206155 0.724705637004858 1 Amb&Conserved
"ENSMUSG00000000142" 0.324531442157998 0.0590358678048405 0.1889397561674 0.469118036439251 0.901184089258439 Amb&Conserved
"ENSMUSG00000000148" 0.22145287951215 0.133902288324648 0.122188411508381 0.835277870774177 1 Amb&Conserved
"ENSMUSG00000000149" 0.276174045745402 0.138313440998244 0.420052993614834 0.0129882273633821 0.760761408587857 Amb&Conserved
"ENSMUSG00000000184" -0.0602548986564085 0.870850975509747 0.903499633866451 0.0229765981787677 0.0532838777485054 Amb&Conserved
"ENSMUSG00000000194" -0.0529202767616366 0.555184662977248 0.243489288683542 0.501469471750725 0.525132619278034 Amb&Conserved
"ENSMUSG00000000275" 0.123056169247966 0.330132082559629 0.371636311369395 0.00709648852616721 0.52484754657178 Amb&Conserved
"ENSMUSG00000000276" -0.088960957014034 0.624807372684467 0.282978624509052 0.636650779556295 0.66873508988791 Amb&Conserved
"ENSMUSG00000000278" 0.27579337599741 0.0227200020797576 -0.260777088663998 0.653021449247654 0.409958146826838 Amb&Conserved
"ENSMUSG00000000290" 0.402069492962523 0.138177012713402 0.189248260454054 0.739944491619874 0.97877968679721 Amb&Conserved
"ENSMUSG00000000339" -0.640789259865644 6.77511971124782e-10 -0.225137152328082 0.44581132159462 0.450315596108665 Amb&Conserved
"ENSMUSG00000000340" 0.039417325728147 0.85222263033338 -0.0207617412093054 0.909283675746209 0.82079847766046 Amb&Conserved
"ENSMUSG00000000378" 0.356319460055068 0.0154244743287729 0.198175387778366 0.641440219677886 0.958712488532047 Amb&Conserved
"ENSMUSG00000000384" 0.0800682388516181 0.362770025103997 0.262180455170435 0.00798159455232351 0.366607313083551 Amb&Conserved
"ENSMUSG00000000420" -0.452977606848349 4.77238330431045e-07 -0.257685350474211 0.0834738170809317 0.452318631907095 Amb&Conserved
"ENSMUSG00000000439" -0.155615778710911 0.314740033976055 -0.112110049218997 0.789954552242154 0.958049148192361 Amb&Conserved
"ENSMUSG00000000440" 0.109523072728352 0.351265016069206 0.0747004406676245 0.739806214740418 0.987245256952317 Amb&Conserved
"ENSMUSG00000000441" -0.101578603365448 0.476360638231975 -0.00992858098909946 0.987337482219697 0.953438227894435 Amb&Conserved
"ENSMUSG00000000530" 0.179816521144351 0.134927409183015 -0.0204355708091034 0.968823596457365 0.783297224824016 Amb&Conserved
"ENSMUSG00000000531" -0.533312490597646 0.0162107295176853 -0.877723458262215 0.128935961629398 0.921188358847354 Amb&Conserved
"ENSMUSG00000000532" -0.0940763225534198 0.619103825112005 -0.0443516365679459 0.936048537677855 1 Amb&Conserved
