"" "log2FoldChange" "padj" "log2FoldChange" "padj" "batpadj" Amb&Conserved
"ENSMUSG00000000056" 0.199901453025891 0.103690909043653 0.266107289543973 0.365339315315339 0.836096851082796 Amb&Conserved
"ENSMUSG00000000058" 0.112214347321062 0.530553313989113 -0.0922611624319474 0.430837521553428 0.290449867526838 Amb&Conserved
"ENSMUSG00000000078" -0.284717075891882 0.132005118697839 -0.110364078955973 0.803700183839934 0.570243710602036 Amb&Conserved
"ENSMUSG00000000088" 0.0212668190148734 0.929075198838303 0.0566169942460341 0.462462849694474 0.570243710602036 Amb&Conserved
"ENSMUSG00000000120" -0.420979023715877 0.136757072941463 0.172156295851767 0.824858763992768 0.843228992242644 Amb&Conserved
"ENSMUSG00000000142" 0.459180868879269 0.000131179681876127 -0.00664221722143175 0.988731208123946 0.133580983809406 Amb&Conserved
"ENSMUSG00000000148" -0.0355895508507156 0.857943950289409 -0.386723152152535 0.369038892509263 0.696379919855434 Amb&Conserved
"ENSMUSG00000000184" 0.413473794452011 0.319918754118942 0.205221916053875 0.676749397682818 0.949465476388254 Amb&Conserved
"ENSMUSG00000000194" -0.0795099123661815 0.444930918920183 0.0272996962107913 0.954916848090261 0.717075488270829 Amb&Conserved
"ENSMUSG00000000275" -0.02233485508567 0.878089644826672 0.192268626453197 0.297631788740176 0.439331578522694 Amb&Conserved
"ENSMUSG00000000276" -0.371697210454541 0.00876118320722898 -0.0618538460265119 0.919883233869777 0.610307132213476 Amb&Conserved
"ENSMUSG00000000278" 0.129200411969809 0.220861505464592 0.110748703029905 0.90922113978169 1 Amb&Conserved
"ENSMUSG00000000290" 0.173544001233127 0.664040639013561 0.525729752908294 0.105317442526307 0.719532830765705 Amb&Conserved
"ENSMUSG00000000339" -0.48489728015539 5.23368738115315e-07 -0.0107228310725852 0.97954797299166 0.0854054648089792 Amb&Conserved
"ENSMUSG00000000378" 0.610966170383335 1.74136209523563e-06 0.476271707451042 0.164298619702992 0.963027043482973 Amb&Conserved
"ENSMUSG00000000384" -0.0369826815881715 0.795384863067671 0.154834897794235 0.0995920315313606 0.0550561926746561 Amb&Conserved
"ENSMUSG00000000439" -0.442465223800692 3.81524120559617e-06 -0.263541458723351 0.46668891371507 0.632839677626552 Amb&Conserved
"ENSMUSG00000000440" 0.266874880900968 0.00362092216605561 -0.01144195112277 0.972379371186849 0.070370961989581 Amb&Conserved
"ENSMUSG00000000441" -0.127551205074822 0.25114374436507 0.192967130649553 0.490543692271691 0.179354796719124 Amb&Conserved
"ENSMUSG00000000489" 0.116755409757207 0.484792566891701 0.277326886085756 0.514528937495068 0.855920293323167 Amb&Conserved
"ENSMUSG00000000530" 0.195896580700531 0.0932214800390933 0.145690906289244 0.784382957315931 1 Amb&Conserved
"ENSMUSG00000000532" -0.0976715233699471 0.600755850614151 -0.0769834543573642 0.887143428067542 1 Amb&Conserved
"ENSMUSG00000000568" 0.0285676486088353 0.819711406841029 -0.368555794888646 0.142945169705068 0.322352104724674 Amb&Conserved
"ENSMUSG00000000581" -0.295799884225471 0.0569814711108345 -0.0945854618696802 0.907398059305531 0.852969334715879 Amb&Conserved
"ENSMUSG00000000594" -0.0729623782346404 0.491108577694695 0.488299481113945 0.526751284406144 0.443453647755638 Amb&Conserved
"ENSMUSG00000000631" -0.274649287921934 0.00147276944723487 -0.134742300954767 0.592069761326952 0.416026539217791 Amb&Conserved
"ENSMUSG00000000708" -0.0863920817900929 0.337750265050735 -0.262825610147454 0.262604276951525 0.780284567518172 Amb&Conserved
"ENSMUSG00000000738" 0.24386264366884 0.00554946320793236 -0.117780176273922 0.829103287518785 0.285374108153247 Amb&Conserved
"ENSMUSG00000000740" -0.0395657126632775 0.856322864254878 0.186116228586863 0.0824169365392846 0.0257937808298675 Amb&Conserved
"ENSMUSG00000000743" -0.103122841065003 0.512019747763419 -0.287936139813481 0.326858564281691 0.872328260712241 Amb&Conserved
"ENSMUSG00000000751" -0.0366595437890663 0.717975174636024 0.0522875114638018 0.936818393124877 0.956002863246144 Amb&Conserved
"ENSMUSG00000000759" 0.0964283562747283 0.339522562303572 0.0947170170326909 0.840927617735808 1 Amb&Conserved
"ENSMUSG00000000776" 0.157200000390509 0.285130543770801 -0.332645560247239 0.305998734256513 0.3647418279122 Amb&Conserved
"ENSMUSG00000000811" -0.534936400411055 4.22222626701764e-08 -0.329881188824251 0.349038795103019 0.642812997801342 Amb&Conserved
"ENSMUSG00000000826" -0.0543006166850023 0.526112467670536 -0.0287036649103786 0.918565061299119 0.881572577233781 Amb&Conserved
"ENSMUSG00000000876" 0.00211107401767867 0.988251183424608 0.0490045977130733 0.799092095136906 0.790423311041059 Amb&Conserved
"ENSMUSG00000000902" 0.131552391755774 0.158469605053052 0.0662633683174368 0.811189879605331 1 Amb&Conserved
"ENSMUSG00000000942" 0.379045429828352 0.0166683601595529 0.183570270139621 0.556664004592071 0.803122960890911 Amb&Conserved
"ENSMUSG00000000957" 0.0461407640201286 0.893429999444301 -0.278028880533021 0.742162523964533 0.836096851082796 Amb&Conserved
"ENSMUSG00000000976" 0.10198540672528 0.330224512425162 -0.801537802169114 0.185540218897441 0.258781816533711 Amb&Conserved
"ENSMUSG00000001052" 0.226117013573103 0.0157026421761448 0.0399077833780706 0.913493174138963 0.68972298490081 Amb&Conserved
"ENSMUSG00000001054" -0.346886401841267 0.0430645095405237 -0.0297118722007837 0.934932342545969 0.474662145234373 Amb&Conserved
"ENSMUSG00000001062" -0.118082486579015 0.214981053204873 -0.0204700038197756 0.97469426013366 0.927145768377366 Amb&Conserved
"ENSMUSG00000001065" 0.119815602260065 0.404590256040504 -0.100114625105094 0.852380962110937 0.695472109121164 Amb&Conserved
"ENSMUSG00000001089" 0.0210654271701397 0.911692955187999 -0.024756997724059 0.912797323977491 1 Amb&Conserved
"ENSMUSG00000001119" 0.109447307693924 0.730588425392711 0.00423719810750303 0.989424759228134 0.900666407015158 Amb&Conserved
"ENSMUSG00000001120" 0.241875748250131 0.170192014939663 0.42128019833601 0.405478838175491 0.920251126575386 Amb&Conserved
"ENSMUSG00000001123" 0.135651750279194 0.351827464081733 0.230990426201994 0.294382235000517 0.801413741714144 Amb&Conserved
"ENSMUSG00000001138" 0.115165703269575 0.476460895961374 -0.307407319742815 0.237629424448235 0.262554158789129 Amb&Conserved
"ENSMUSG00000001143" -0.320453954972269 0.000402171821901859 -0.32773192220074 0.179664164195015 0.931010773038658 Amb&Conserved
"ENSMUSG00000001150" 0.141996803693095 0.258200960151269 0.303453929577535 0.195586234154522 0.617890567997259 Amb&Conserved
"ENSMUSG00000001151" 0.0492675932188105 0.733811948249584 -0.0215585544799881 0.962465923491079 1 Amb&Conserved
"ENSMUSG00000001175" -0.0923587083233982 0.557366533967406 0.163409409928026 0.322051710055641 0.0181999464904753 Amb&Conserved
"ENSMUSG00000001229" -0.272959418360697 0.0118540412361476 -0.37296045659394 0.145448095301669 1 Amb&Conserved
"ENSMUSG00000001240" -0.306355916901997 0.0488820635786565 0.0948648888517553 0.774674368669624 0.242351698595905 Amb&Conserved
"ENSMUSG00000001248" -0.193611998928196 0.0616276513221958 -1.7140783987947 0.0508111886243454 6.28101790021175e-10 Amb&Conserved
"ENSMUSG00000001249" -1.30292761453805 0.354747523451837 -2.15308510296538 0.465732276174516 1 Amb&Conserved
"ENSMUSG00000001280" 0.187264550379878 0.06443296403057 0.298973454243597 0.434512961388671 0.913385070705857 Amb&Conserved
"ENSMUSG00000001288" -0.297382204826626 0.170591768371535 0.128083402534335 0.68778946037067 0.149985834528299 Amb&Conserved
"ENSMUSG00000001323" 0.0607969047995284 0.62604239906199 -0.284580392176791 0.187856665787581 0.476796226815574 Amb&Conserved
"ENSMUSG00000001366" 0.103652415983881 0.322444907193679 -0.123699977372353 0.497025592807826 0.450175087352222 Amb&Conserved
"ENSMUSG00000001380" 0.284449092494674 0.002374451047046 0.325998308276768 0.442876632396678 0.945765605583985 Amb&Conserved
"ENSMUSG00000001418" 0.0609003046463319 0.724614729218619 -0.522832408491958 0.0567463493465948 0.0913778236514185 Amb&Conserved
"ENSMUSG00000001419" 0.0447995889397634 0.632907347722774 -0.343987403531793 0.556566060370897 0.433960295951277 Amb&Conserved
"ENSMUSG00000001420" -0.309760448797476 0.0790440769119996 0.522802006082855 0.207858512036547 0.000486300784644374 Amb&Conserved
"ENSMUSG00000001424" -0.0196972657189269 0.904526887799953 -0.402748639713579 0.071984725742428 0.431180871257919 Amb&Conserved
"ENSMUSG00000001436" 0.135927935441191 0.378950908789362 0.233436841456775 0.414050900068992 0.713187764575974 Amb&Conserved
"ENSMUSG00000001441" 0.0522750774301538 0.555980975071744 0.187649603990958 0.673222004233932 0.847664202741284 Amb&Conserved
"ENSMUSG00000001445" -0.160698781765324 0.131796172690546 -0.346592525703538 0.478685958561066 0.801413741714144 Amb&Conserved
"ENSMUSG00000001467" -0.219936193328823 0.541399422232567 0.1196184683415 0.327297258150499 0.00467595420568952 Amb&Conserved
"ENSMUSG00000001472" 0.0507015906125558 0.473995829962258 0.154693455900712 0.406770792423964 0.509414390024235 Amb&Conserved
"ENSMUSG00000001473" 0.228335427982286 0.480821591948576 0.959021098568098 0.0105586385647158 0.134043147377029 Amb&Conserved
"ENSMUSG00000001482" 0.152745738233954 0.262000365040067 0.270657082531355 0.0924408100702253 0.679181421919151 Amb&Conserved
"ENSMUSG00000001506" 0.142875976060225 0.855027619372768 0.172571567797785 0.524042249444983 0.552239667337516 Amb&Conserved
"ENSMUSG00000001521" -0.00702869173478675 0.973906796767149 0.380369016468772 0.439785857321223 0.698385196923556 Amb&Conserved
"ENSMUSG00000001524" 0.432294536387254 0.00137907580639439 -0.19778620457487 0.470210355908096 0.255773637521817 Amb&Conserved
"ENSMUSG00000001525" 0.123413660873666 0.475000363895124 -0.201067233293514 0.740166861382093 0.619533823337225 Amb&Conserved
"ENSMUSG00000001542" 0.32442455666409 0.0018601395793804 0.187234674085058 0.537301992918801 0.836096851082796 Amb&Conserved
"ENSMUSG00000001552" 0.139535183678165 0.249373004902267 -0.115289570518151 0.826643737768868 0.712255138040257 Amb&Conserved
"ENSMUSG00000001630" -0.371088788649744 3.38356882241069e-05 -0.224689406336829 0.571087494100823 0.768975952442427 Amb&Conserved
"ENSMUSG00000001632" 0.134727178696607 0.177461546261111 -0.40007922697898 0.328571119666507 0.222699537711912 Amb&Conserved
"ENSMUSG00000001642" 0.480843970438309 0.000512331819876507 0.102590131436916 0.681958958474694 0.150682302923856 Amb&Conserved
"ENSMUSG00000001665" -0.228547721029717 0.321881167819443 0.0580865708096758 0.928242217822026 0.790448722584266 Amb&Conserved
