"" "log2FoldChange" "padj" "log2FoldChange" "padj" "liverpvals_coldmale_adj" Amb&Conserved
"ENSMUSG00000000056" 0.0964564506044297 0.459926669223336 0.106285837875899 0.675396773584144 0.94775341699882 Amb&Conserved
"ENSMUSG00000000058" 0.291054923648129 0.203076604651198 0.043497573785346 0.931300167531631 0.923879598506311 Amb&Conserved
"ENSMUSG00000000078" 0.261051266666381 0.209088280175725 -0.22558846260279 0.69417056862366 0.426430258329993 Amb&Conserved
"ENSMUSG00000000088" -0.0575419810820755 0.787275199718572 0.0478330368262849 0.673872097900365 0.838985373728393 Amb&Conserved
"ENSMUSG00000000142" 0.446206598559843 0.0271570168296864 0.0495585980426641 0.904636506206023 0.318174162884174 Amb&Conserved
"ENSMUSG00000000148" -0.152056745010312 0.369941220974281 0.450057919843584 0.313886163499764 0.328573841285198 Amb&Conserved
"ENSMUSG00000000149" -0.205508664418987 0.0696729968064056 0.0565526725103351 0.83131865249323 0.257115442534377 Amb&Conserved
"ENSMUSG00000000184" 0.0881522599884114 0.70506636053911 -0.0543158051220017 0.933969926038835 0.872776738827167 Amb&Conserved
"ENSMUSG00000000194" 0.0144819729705697 0.904173828363287 -0.045968121683894 0.930115142347101 0.924088394920232 Amb&Conserved
"ENSMUSG00000000253" -0.0801805104676994 0.862944509920693 1.54187691931096 0.0129613566817643 0.593602714287521 Amb&Conserved
"ENSMUSG00000000276" -0.145718030810716 0.609989494239547 -0.154300602221613 0.90207191188577 1 Amb&Conserved
"ENSMUSG00000000278" -0.214251757740007 0.125671773079121 0.197308747266586 0.813332846381823 0.741131692205358 Amb&Conserved
"ENSMUSG00000000290" 0.290506155384959 0.198610846640823 0.255238090420091 0.573060819558801 0.989282337559678 Amb&Conserved
"ENSMUSG00000000339" -0.59155454746476 1.6897296317915e-05 -0.248102202213664 0.483144883615849 0.613664842633562 Amb&Conserved
"ENSMUSG00000000340" 0.213721428348738 0.106570542383652 0.201031871869533 0.0926423683743995 0.740622426702423 Amb&Conserved
"ENSMUSG00000000378" 0.0994593670007038 0.441850997214837 -0.0142637080269419 0.984057246931209 0.922873168261917 Amb&Conserved
"ENSMUSG00000000384" -0.0344678301034621 0.772479438771043 0.124936193937363 0.440169871527002 0.715042853978251 Amb&Conserved
"ENSMUSG00000000439" 0.0105305994126301 0.943549017002852 -0.58838582702448 0.0752265277404638 0.137642543319899 Amb&Conserved
"ENSMUSG00000000440" 0.966072390238983 0.00292920505499394 0.813168253154493 0.259908664895536 0.930079667104842 Amb&Conserved
"ENSMUSG00000000441" -0.0668548246547215 0.473756074035993 0.0336825641300382 0.940494041478261 0.987977647107143 Amb&Conserved
"ENSMUSG00000000530" -0.303892483150655 0.0870852119758559 0.84117444488191 0.159935350101505 0.235035494432975 Amb&Conserved
"ENSMUSG00000000531" -0.139720163606739 0.661250673156099 0.958297943850814 0.477142140158014 0.707592483308882 Amb&Conserved
"ENSMUSG00000000532" -0.0192220672702128 0.927888947103207 -0.11105058918902 0.727626557540219 0.863615254364808 Amb&Conserved
"ENSMUSG00000000568" 0.127478430797992 0.339746088149411 -0.19799830676514 0.517904692595187 0.172078883647463 Amb&Conserved
"ENSMUSG00000000581" -0.179273238267029 0.358161767009233 -0.11312975134483 0.897713954840189 0.942898620431852 Amb&Conserved
"ENSMUSG00000000594" -0.21308174531676 0.163002682588958 0.485987056894968 0.545720459566847 0.386739576355832 Amb&Conserved
"ENSMUSG00000000628" -0.0185705381410687 0.971225671744874 0.748673632319395 0.473395354004989 0.844190464644326 Amb&Conserved
"ENSMUSG00000000631" -0.171252208249597 0.101169040904404 -0.179549872708136 0.221870784044377 0.771639762963174 Amb&Conserved
"ENSMUSG00000000738" -0.0792444980689671 0.596598533967952 -0.523593109706628 0.226880806377665 0.137657652703776 Amb&Conserved
"ENSMUSG00000000743" 0.197941385312279 0.205554426930237 0.100174712665413 0.811262655947648 0.821206533867606 Amb&Conserved
"ENSMUSG00000000751" 0.253943552751055 0.0749121371318182 0.161791850634408 0.726341630238415 0.912751168689268 Amb&Conserved
"ENSMUSG00000000759" 0.326443343555685 0.0059073259877149 0.0459855103683685 0.921917710380463 0.321162203832233 Amb&Conserved
"ENSMUSG00000000776" -0.109465420379123 0.530535035426551 -0.400090293970086 0.434877491441882 0.603375686106827 Amb&Conserved
"ENSMUSG00000000811" 0.00222006997209044 0.992598466911223 -0.0231229916496864 0.971633112297835 1 Amb&Conserved
"ENSMUSG00000000826" -0.134185639616705 0.0837931151337213 0.0254773898914321 0.936727440599377 0.686434528993779 Amb&Conserved
"ENSMUSG00000000876" -0.0887679493433128 0.570430398992034 -0.102063286246973 0.436483115274439 0.881095469089215 Amb&Conserved
"ENSMUSG00000000902" -0.0319774255621662 0.846654562935554 -0.00910489240438725 0.986620046033598 1 Amb&Conserved
"ENSMUSG00000000957" -0.0928055769124361 0.532225657345717 -0.383361652323297 0.534761744734046 0.703192696647758 Amb&Conserved
"ENSMUSG00000000976" -0.0749766712332899 0.489057188006504 -0.381922107012075 0.473711920029742 0.623547525540243 Amb&Conserved
"ENSMUSG00000001029" -0.140689284627615 0.564188552749422 0.187801158443083 0.89724737637984 1 Amb&Conserved
