"" "log2FoldChange" "padj" "log2FoldChange" "padj" "padj" Amb&Conserved
"ENSMUSG00000000056" -0.0174186801564084 0.93080030094559 0.0254936721047833 0.950849355353544 1 Amb&Conserved
"ENSMUSG00000000058" 0.447434448159094 0.0498133303654644 0.103473119932601 0.804202200108374 0.764421420385982 Amb&Conserved
"ENSMUSG00000000078" 0.0591165367061517 0.813138221354425 -0.444058696607315 0.360853284871408 0.197271638602992 Amb&Conserved
"ENSMUSG00000000088" -0.086632164315236 0.583337002622362 -0.0325001157732712 0.797488192308632 1 Amb&Conserved
"ENSMUSG00000000148" -0.271645761741792 0.0504011211493485 -0.227693858101564 0.711220837260609 1 Amb&Conserved
"ENSMUSG00000000149" -0.226834131351605 0.227907868201246 0.038497003480458 0.890530126349673 0.249516521317164 Amb&Conserved
"ENSMUSG00000000168" -0.0519540856513345 0.634098236180915 4.46156777961108 0.0794647864576807 7.2998833274809e-15 Amb&Conserved
"ENSMUSG00000000184" 0.300240592314736 0.0117098517680314 -0.0611630428280264 0.917817721502994 0.410987413758509 Amb&Conserved
"ENSMUSG00000000194" -0.0794654101439427 0.523562194560584 0.24670733628508 0.496986711687661 0.563050376379072 Amb&Conserved
"ENSMUSG00000000253" 0.255785113431799 0.46689715863231 3.35467822314154 0.000672370552832018 0.212397002299227 Amb&Conserved
"ENSMUSG00000000276" -0.231738256865791 0.371479130464013 -0.864384894696144 0.304184970619458 0.65309559293456 Amb&Conserved
"ENSMUSG00000000278" -0.0607961640165645 0.747498022667465 -0.0654108246051759 0.954777074053916 0.954803531273798 Amb&Conserved
"ENSMUSG00000000339" -0.679839072951476 2.71824933605466e-06 -0.234634712158479 0.478965564599111 0.460385442581781 Amb&Conserved
"ENSMUSG00000000340" 0.0679147437685377 0.608501190361019 0.133494503944822 0.246011272831323 1 Amb&Conserved
"ENSMUSG00000000378" -0.00730887081858684 0.971389665563294 0.00978954479263568 0.988608752057267 1 Amb&Conserved
"ENSMUSG00000000384" -0.0879104357024119 0.540836710257923 0.10531368181366 0.482464982819723 0.708673496548218 Amb&Conserved
"ENSMUSG00000000439" -0.120138936559343 0.351607307019108 -0.0148242499245478 0.982635002528635 0.922575772880309 Amb&Conserved
"ENSMUSG00000000440" 1.17495198511866 4.11855574875276e-05 0.451343663726825 0.595697026772202 0.52734935303932 Amb&Conserved
"ENSMUSG00000000441" -0.124508847321624 0.263918827645611 0.131952110183605 0.660443049330688 0.50388693731322 Amb&Conserved
"ENSMUSG00000000489" -1.00332518200522 0.00311832557572264 -1.25495513705745 0.413739138250791 1 Amb&Conserved
"ENSMUSG00000000530" -0.164526685077702 0.429159270674357 -0.123560949181232 0.895851393141252 1 Amb&Conserved
"ENSMUSG00000000532" -0.148993405028358 0.264461802398316 0.132001807617946 0.705667199520737 0.622206278187775 Amb&Conserved
"ENSMUSG00000000568" 0.0691977094629286 0.618252302205741 -0.20151782324666 0.448686874970019 0.191134940988116 Amb&Conserved
"ENSMUSG00000000581" -0.30421304045147 0.0950768692867808 0.0325987633800787 0.967117240133893 0.641612465479921 Amb&Conserved
"ENSMUSG00000000594" 0.0347587602609434 0.846986451850626 0.133214542900446 0.885879986130304 1 Amb&Conserved
"ENSMUSG00000000628" -0.371649624785751 0.205858008629168 0.152063857836577 0.895851393141252 0.852675771369262 Amb&Conserved
"ENSMUSG00000000631" -0.104399809368582 0.450458318511112 -0.274442031959076 0.135605218233833 0.106327478432422 Amb&Conserved
"ENSMUSG00000000738" -0.0842124663390163 0.551781220342578 0.066067906513808 0.930314637905297 1 Amb&Conserved
"ENSMUSG00000000743" -0.0720740786086811 0.730528629370329 0.0429621631974021 0.912419059815255 0.936738380611929 Amb&Conserved
"ENSMUSG00000000751" 0.104515832580906 0.455008462415182 0.537944856330816 0.16814838936896 0.477735435597692 Amb&Conserved
"ENSMUSG00000000759" 0.395238756347663 0.00439718431604916 0.307765139194798 0.376426476012923 0.795350910443632 Amb&Conserved
"ENSMUSG00000000776" 0.0798644700054555 0.629511120090549 0.181199578643457 0.691231048976201 0.980823843983137 Amb&Conserved
"ENSMUSG00000000811" 0.126444347314658 0.422271941698746 0.104025937411498 0.868393536373625 0.932754052600111 Amb&Conserved
"ENSMUSG00000000826" -0.0123390550479372 0.924851441720145 -0.0378076934670083 0.897293962342102 0.812800419182788 Amb&Conserved
"ENSMUSG00000000876" 0.0334169734028493 0.840776774394424 -0.00379223816072474 0.984227438934607 0.532346971530721 Amb&Conserved
"ENSMUSG00000000902" -0.136699014336489 0.319328502463449 -0.0878812418805324 0.792391329476331 1 Amb&Conserved
"ENSMUSG00000000942" 0.309390038929654 0.559282827727797 0.206682405151381 0.909144187443808 1 Amb&Conserved
"ENSMUSG00000000957" 0.0321960233992438 0.910393374185189 -0.0528683441989455 0.943217513883685 0.85369695611196 Amb&Conserved
"ENSMUSG00000000976" 0.0840681028257032 0.569336121950493 0.0880841849948848 0.907566166992802 0.971240336956896 Amb&Conserved
"ENSMUSG00000001052" 0.389451223681479 0.000312319488954724 0.0206139804221068 0.965779439547479 0.170529070181071 Amb&Conserved
"ENSMUSG00000001054" -0.271920178932871 0.0416050569060313 -0.163844734983579 0.516110400843164 0.99282356988333 Amb&Conserved
"ENSMUSG00000001062" -0.258203256350566 0.154836761888478 -0.760791249723435 0.0283829231879333 0.141129647643987 Amb&Conserved
"ENSMUSG00000001065" 0.286392790678606 0.170564642921923 -0.141148202770111 0.764172000860986 0.221786153720991 Amb&Conserved
"ENSMUSG00000001089" 0.163420773717149 0.293378477701338 -0.0637339894633496 0.798436253549044 0.247718882232825 Amb&Conserved
"ENSMUSG00000001120" 0.435834829331763 0.185834502966563 0.0187744330149599 0.988608752057267 0.955289996600713 Amb&Conserved
"ENSMUSG00000001123" 0.0653396477716754 0.614956336380449 0.170144860598008 0.0682241720109827 0.638933202324272 Amb&Conserved
"ENSMUSG00000001138" 0.125020428655215 0.448286223802743 -0.143567335282371 0.681035028392254 0.312240349542942 Amb&Conserved
"ENSMUSG00000001150" 0.181019519487955 0.189527726670353 0.365856779920716 0.0850712080528575 0.758298506196314 Amb&Conserved
"ENSMUSG00000001151" -0.0258567467105873 0.878746677248803 -0.058478177725822 0.888135775050394 0.96754653883313 Amb&Conserved
"ENSMUSG00000001175" -0.29088548012382 0.00989664208735308 -0.253460940877979 0.158795817040334 0.948024834861284 Amb&Conserved
"ENSMUSG00000001229" -0.0833708856409134 0.65010479946316 -0.0116364272458024 0.975576240290398 1 Amb&Conserved
"ENSMUSG00000001240" -0.0135030928923682 0.961981364851424 -0.236361529445178 0.599632129174804 0.721227869167266 Amb&Conserved
"ENSMUSG00000001248" 0.189240116365377 0.298878048357493 -1.53876195863219 0.104684920243248 4.08987542340951e-08 Amb&Conserved
"ENSMUSG00000001280" 0.214415689765079 0.0402337187178443 0.298197513079574 0.424577913271279 0.999346359497878 Amb&Conserved
"ENSMUSG00000001288" 0.0819831744819996 0.737790081082107 0.39607948027549 0.251110609236456 0.783428621632087 Amb&Conserved
"ENSMUSG00000001323" -0.0876688759106458 0.4332147206885 -0.183164672390643 0.262271218305051 0.354154979557974 Amb&Conserved
"ENSMUSG00000001366" -0.0875586535417414 0.353023014729983 -0.101122716366278 0.604215525221817 0.797252990244678 Amb&Conserved
"ENSMUSG00000001380" -0.0467289240907115 0.699314913480602 0.393230021077454 0.31935707668171 0.269190706652498 Amb&Conserved
"ENSMUSG00000001418" -0.194577171461557 0.0839057384607251 -0.0247122455147518 0.965602402106746 0.851059759319467 Amb&Conserved
"ENSMUSG00000001419" 0.124673158402401 0.531597854015219 -0.668293794141928 0.397259395577113 0.248933847970524 Amb&Conserved
"ENSMUSG00000001420" -0.029804173790878 0.90677821396465 0.595969144980401 0.345253166430882 0.851332913315883 Amb&Conserved
"ENSMUSG00000001424" -0.309343366228302 0.0183332062276093 -0.0143690495566222 0.960909463881206 0.0820817087491608 Amb&Conserved
