"","DOB","DOD","Age_days","Population","Generation","Mouse_ID","Sex","Environment","TotalLength_mm","TailLength_mm","HindFootLength_mm","EarLength_mm","BodyWeight_g","FinalTailLength_mm","BAT_mass_g","Dorsal_fur_depth","Dorsal_fur_length","AVG_conductance","STD_conductance","Conductivity"
"1","7/17/18","9/29/18",74,"BRAZIL","N11","193x255_BZ2","Male","Warm",145,75.5,17,13.5,10.35,76,NA,NA,NA,NA,NA,NA
"2","7/17/18","9/29/18",74,"BRAZIL","N11","193x255_BZ4","Male","Warm",164.5,85,17.5,14.5,14.42,83,NA,NA,NA,NA,NA,NA
"3","8/13/18","10/27/18",75,"BRAZIL","N11","193x255_BZ5","Female","Warm",144,74.5,17,14,9.38,74.5,NA,NA,NA,NA,NA,NA
"4","8/13/18","10/27/18",75,"BRAZIL","N11","193x255_BZ7","Female","Warm",158,81,17.5,14,12.03,81,NA,NA,NA,NA,NA,NA
"5","8/13/18","10/27/18",75,"BRAZIL","N11","193x255_BZ9","Female","Warm",157.5,79.5,17,15,11.39,79.5,NA,NA,NA,NA,NA,NA
"6","9/8/18","11/21/18",74,"BRAZIL","N11","193x255_BZ11","Female","Warm",149,80.5,17,14,10.71,79.5,NA,NA,NA,NA,NA,NA
"7","9/8/18","11/21/18",74,"BRAZIL","N11","193x255_BZ10","Male","Warm",151.5,78.5,17,14,12.78,78.5,NA,NA,NA,NA,NA,NA
"8","9/8/18","11/21/18",74,"BRAZIL","N11","193x255_BZ14","Male","Warm",150,78,17.5,14,10.96,78,NA,NA,NA,NA,NA,NA
"9","10/29/18","1/16/19",79,"BRAZIL","N11","193x255_BZ23","Female","Warm",156,78,17,14,11.79,77.5,NA,NA,NA,NA,NA,NA
"10","11/23/18","2/2/19",71,"BRAZIL","N11","193x255_BZ18","Male","Warm",149,81,17,14,10.92,80,0.0422,NA,NA,NA,NA,NA
"11","11/23/18","2/2/19",71,"BRAZIL","N11","193x255_BZ27","Female","Warm",156,80,17,14,10.87,80.5,NA,NA,NA,NA,NA,NA
"12","12/18/18","3/2/19",74,"BRAZIL","N11","193x255_BZ31","Female","Warm",153,79,17,14,11.61,79,0.055,NA,NA,NA,NA,NA
"13","2/1/19","4/21/19",79,"BRAZIL","N11","193x255_BZ30","Male","Warm",160,83,18,14,14.05,83,0.054,NA,NA,NA,NA,NA
"14","4/17/19","7/7/19",81,"BRAZIL","N13","193x255_BZ37","Female","Warm",153,78,17,15,12.21,77,0.0538,5e-04,0.0035,24.58818194,0.716289394,0.012294091
"15","4/22/19","7/7/19",76,"BRAZIL","N13","193x255_BZ34","Male","Warm",165,78.5,18,14,13.89,80,0.0483,0.001,0.004,20.78749239,0.852443648,0.020787492
"16","4/17/19","7/17/19",91,"BRAZIL","N13","193x255_BZ35","Female","Warm",142,68,17,14,11.37,NA,0.0414,5e-04,0.004,25.93390936,0.775220168,0.012966955
"17","4/22/19","7/17/19",86,"BRAZIL","N13","193x255_BZ43","Female","Warm",155.5,78,17.5,14.5,11.23,78,0.0425,5e-04,0.004,25.58846078,0.840934823,0.01279423
"18","4/22/19","7/17/19",86,"BRAZIL","N13","193x255_BZ36","Male","Warm",157.5,80,18,14,11.8,79.5,0.037,5e-04,0.0035,20.23788876,0.711282088,0.010118944
"19","6/29/18","9/10/18",73,"NEW_YORK","N11","19x13_NY1","Female","Warm",171,71,18.5,13.5,12.96,72,NA,NA,NA,NA,NA,NA
"20","6/29/18","9/10/18",73,"NEW_YORK","N11","19x13_NY2","Male","Warm",168,75.5,18,13,14.52,75.5,NA,NA,NA,NA,NA,NA
"21","6/29/18","9/10/18",73,"NEW_YORK","N11","19x13_NY3","Female","Warm",151,69.5,18,14,13.13,71,NA,NA,NA,NA,NA,NA
"22","7/20/18","10/1/18",73,"NEW_YORK","N11","19x13_NY8","Male","Warm",155,69,18,13,13,70.5,NA,NA,NA,NA,NA,NA
"23","8/10/18","10/22/18",73,"NEW_YORK","N11","19x13_NY9","Female","Warm",160,74,18,13.5,14.48,74,NA,NA,NA,NA,NA,NA
"24","8/10/18","10/22/18",73,"NEW_YORK","N11","19x13_NY12","Male","Warm",164,73.5,19,14,19.11,76.5,NA,NA,NA,NA,NA,NA
"25","11/13/18","1/26/19",74,"NEW_YORK","N11","19x13_NY15","Female","Warm",146.5,67.5,18,13,11.32,67.5,NA,NA,NA,NA,NA,NA
"26","12/30/18","3/17/19",77,"NEW_YORK","N11","19x13_NY18","Male","Warm",160,69,18,13,16,69,0.0889,NA,NA,NA,NA,NA
"27","2/4/19","4/20/19",75,"NEW_YORK","N14","19x13_NY21","Female","Warm",157,72.5,19.5,14,14.83,74,0.0786,NA,NA,NA,NA,NA
"28","2/4/19","4/27/19",82,"NEW_YORK","N14","19x13_NY22","Male","Warm",161,76,20,14,17.54,75.5,0.093,5e-04,0.005,21.79431078,0.666437319,0.010897155
"29","4/6/19","6/18/19",73,"NEW_YORK","N12","19x13_NY24","Male","Warm",158,72,19,14,17.95,73,NA,0.001,0.005,21.19227476,0.583791348,0.021192275
"30","4/6/19","6/20/19",75,"NEW_YORK","N12","19x13_NY25","Female","Warm",151,70,18.5,14,14.08,70.5,0.0511,0.001,0.004,25.0705477,0.754636193,0.025070548
"31","4/19/19","7/6/19",78,"NEW_YORK","N14","19x13_NY28","Male","Warm",162,75,20,14.5,17.91,76,0.094,0.001,0.004,20.4313073,0.548478113,0.020431307
"32","4/19/19","7/6/19",78,"NEW_YORK","N14","19x13_NY29","Female","Warm",158,74,19,14,14.97,73.5,0.0781,0.001,0.004,24.06531569,0.736074325,0.024065316
"33","4/19/19","7/6/19",78,"NEW_YORK","N14","19x13_NY31","Female","Warm",161,73,19,14,14.78,73,0.0806,0.001,0.0045,17.67097507,0.59352499,0.017670975
"34","4/19/19","7/19/19",91,"NEW_YORK","N14","19x13_NY30","Male","Warm",162,73.5,19,14,18.26,73,0.0876,0.001,0.005,21.66207165,0.581933504,0.021662072
"35","4/28/19","7/19/19",82,"NEW_YORK","N12","19x13_NY33","Female","Warm",159,71.5,19,14,17.23,72,0.0976,0.001,0.005,19.96851874,0.583475682,0.019968519
"36","4/28/19","7/19/19",82,"NEW_YORK","N12","19x13_NY34","Male","Warm",156.5,72,19,14,16.31,72,0.0911,0.001,0.0045,20.38796314,0.740472874,0.020387963
"37",NA,NA,NA,"BRAZIL",NA,"193x255_BZ22","Male","Warm",NA,NA,NA,NA,NA,NA,NA,5e-04,0.0035,22.71967732,0.614282571,0.011359839
"38",NA,NA,NA,"BRAZIL",NA,"193x255_BZ38_2","Male","Warm",NA,NA,NA,NA,NA,NA,NA,0.001,0.004,22.01335691,0.5975654,0.022013357
"39",NA,NA,NA,"BRAZIL",NA,"193x255_BZ40","Male","Warm",NA,NA,NA,NA,NA,NA,NA,5e-04,0.004,21.17911679,0.571652743,0.010589558
"40",NA,NA,NA,"BRAZIL",NA,"193x255_BZ42","Male","Warm",NA,NA,NA,NA,NA,NA,NA,5e-04,0.0045,18.6988254,0.694979301,0.009349413
