DOB,DateMeasured,Age_days,Age_weeks,Population,Generation,Line,Mouse_ID,Sex,Environment,TotalLength_mm,TailLength_mm,HindFootLength_mm,EarLength_mm,BodyWeight_g,RNAseqID_liver,RNAseqID_BAT,GUID,Collector_ID
7/17/18,9/29/18,74,10.57,BRAZIL,N11,MANA,193x255_BZ1,F,COLD,148,72.5,17,13,10.89,MBSD_001,MBSD_100,MVZ:Mamm:240662,MAB196
10/29/2018,01/16/2019,79,11.29,BRAZIL,N11,MANA,193x255_BZ19,F,COLD,143,71,17,13,10.86,MBSD_014,MBSD_113,MVZ:Mamm:240677,MAB211
10/29/2018,01/16/2019,79,11.29,BRAZIL,N11,MANA,193x255_BZ21,F,COLD,147,73,17,13.5,11.83,MBSD_016,MBSD_115,MVZ:Mamm:240679,MAB213
11/23/2018,02/02/2019,71,10.14,BRAZIL,N11,MANA,193x255_BZ25,F,COLD,150,75.5,17,13.5,11.62,MBSD_018,MBSD_117,MVZ:Mamm:240681,MAB215
11/23/2018,02/02/2019,71,10.14,BRAZIL,N11,MANA,193x255_BZ29,F,COLD,148,73,17,13,11.34,MBSD_021,MBSD_120,MVZ:Mamm:240685,MAB219
12/18/2018,03/02/2019,74,10.57,BRAZIL,N11,MANA,193x255_BZ33,F,COLD,147,71,17.5,12.5,11.81,MBSD_023,MBSD_122,MVZ:Mamm:240688,MAB222
7/17/18,9/29/18,74,10.57,BRAZIL,N11,MANA,193x255_BZ6,M,COLD,148,73,17,13.5,12.52,MBSD_005,MBSD_104,MVZ:Mamm:240667,MAB201
8/13/18,10/27/18,75,10.71,BRAZIL,N11,MANA,193x255_BZ8,M,COLD,150.5,76,18,14,12.92,MBSD_007,MBSD_106,MVZ:Mamm:240669,MAB203
9/8/18,11/21/18,74,10.57,BRAZIL,N11,MANA,193x255_BZ12,M,COLD,149,76,17,13.5,13.18,MBSD_011,MBSD_110,MVZ:Mamm:240673,MAB207
11/23/2018,02/02/2019,71,10.14,BRAZIL,N11,MANA,193x255_BZ20,M,COLD,152,74,17.5,13,12.29,MBSD_015,MBSD_114,MVZ:Mamm:240678,MAB212
02/01/2019,04/21/2019,79,11.29,BRAZIL,N11,MANA,193x255_BZ28,M,COLD,156.5,75,18,13.5,14.05,MBSD_020,MBSD_119,MVZ:Mamm:240684,MAB218
04/22/2019,07/07/2019,76,10.86,BRAZIL,N13,MANA,193x255_BZ38,M,COLD,148,72,18,13,13.59,MBSD_024,MBSD_123,,
8/13/18,10/27/18,75,10.71,BRAZIL,N11,MANA,193x255_BZ5,F,RT,144,74.5,17,14,9.38,MBSD_004,MBSD_103,MVZ:Mamm:240666,MAB200
8/13/18,10/27/18,75,10.71,BRAZIL,N11,MANA,193x255_BZ7,F,RT,158,81,17.5,14,12.03,MBSD_006,MBSD_105,MVZ:Mamm:240668,MAB202
8/13/18,10/27/18,75,10.71,BRAZIL,N11,MANA,193x255_BZ9,F,RT,157.5,79.5,17,15,11.39,MBSD_008,MBSD_107,MVZ:Mamm:240670,MAB204
9/8/18,11/21/18,74,10.57,BRAZIL,N11,MANA,193x255_BZ11,F,RT,149,79.5,17,14,10.71,MBSD_010,MBSD_109,MVZ:Mamm:240672,MAB206
10/29/2018,01/16/2019,79,11.29,BRAZIL,N11,MANA,193x255_BZ23,F,RT,156,77.5,17,14,11.79,MBSD_017,MBSD_116,MVZ:Mamm:240680,MAB214
11/23/2018,02/02/2019,71,10.14,BRAZIL,N11,MANA,193x255_BZ27,F,RT,156,80.5,17,14,10.87,MBSD_019,MBSD_118,MVZ:Mamm:240683,MAB217
