gene	177_coldM	182_coldM	187_coldM	192_coldM	194_coldM	198_coldM	196_warmM	197_warmM	189_warmM	185_warmM	178_warmM	181_warmM	191_coldF	193_coldF	180_coldF	183_coldF	184_coldF	186_coldF	179_warmF	188_warmF	190_warmF	195_warmF
ENSMUSG00000028180	1077	1054	983	1613	1709	755	1300	842	1012	1447	1005	829	959	1089	1123	1060	841	721	798	1566	830	903
ENSMUSG00000028182	40	44	50	67	68	51	73	45	33	98	44	45	33	65	34	43	45	25	25	60	18	47
ENSMUSG00000028185	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000028184	454	480	466	652	806	383	516	300	506	614	520	370	367	506	656	468	424	297	382	711	431	389
ENSMUSG00000028187	303	319	371	437	569	369	458	328	276	502	293	230	282	395	317	381	321	286	241	347	217	288
ENSMUSG00000028186	6	0	0	5	4	3	2	6	1	4	0	2	0	1	0	2	3	1	3	0	5	5
ENSMUSG00000028189	92	79	78	143	129	71	140	112	93	165	106	74	72	104	103	104	84	55	77	142	103	101
ENSMUSG00000028188	40	30	37	71	59	38	78	37	29	49	47	32	36	45	32	36	26	19	28	67	35	48
ENSMUSG00000107279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104925	2	0	0	1	1	0	2	0	0	0	0	1	0	1	0	0	0	0	0	3	2	2
ENSMUSG00000035429	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ENSMUSG00000035427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020755	243	227	231	304	337	179	343	257	290	466	291	186	229	282	295	308	231	185	204	327	224	204
ENSMUSG00000070076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070077	1	0	0	0	0	0	1	0	0	0	0	3	0	1	0	1	1	0	1	1	0	1
ENSMUSG00000070071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020752	328	330	234	345	372	182	283	181	342	490	279	277	250	307	378	305	255	160	188	419	285	204
ENSMUSG00000070073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020758	87	74	150	80	303	66	42	65	137	193	27	158	266	82	92	240	69	43	77	106	53	64
ENSMUSG00000069833	13990	16197	13162	17328	20128	8830	7982	7132	16034	15445	12784	11903	12797	14150	14684	15042	11503	8321	8276	21821	11632	11295
ENSMUSG00000069830	7	8	3	2	12	5	5	10	4	5	2	3	4	7	7	0	4	3	4	10	2	4
ENSMUSG00000028238	11	7	3	18	30	6	10	5	6	9	2	1	9	19	29	36	10	0	6	36	1	8
ENSMUSG00000033862	234	258	172	255	309	150	186	148	282	332	246	228	245	258	257	306	212	114	139	295	223	159
ENSMUSG00000033863	2619	2989	2623	4315	3819	2166	3491	2757	2952	3917	2409	2298	2944	4257	3442	3098	3864	2424	3239	5302	2642	3203
ENSMUSG00000033860	2	0	0	0	3	2	0	12	0	5	0	0	0	0	0	0	6	0	0	1	9	13
ENSMUSG00000069835	43	38	36	52	52	30	50	59	67	116	46	44	28	53	45	54	26	24	42	61	39	26
ENSMUSG00000028233	323	369	265	362	490	239	431	278	318	427	277	233	333	357	312	216	263	198	263	442	237	263
ENSMUSG00000028232	133	141	143	238	255	136	234	157	174	229	170	124	146	202	171	168	150	89	156	281	135	149
ENSMUSG00000028236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028234	1159	1479	837	1586	1543	525	1130	697	1609	1573	1277	1165	1172	1363	1649	1478	1157	674	900	1908	1445	877
ENSMUSG00000114974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000114970	3	0	3	0	2	0	4	0	1	4	12	2	0	0	0	6	0	1	0	10	1	0
ENSMUSG00000114971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044534	12	13	12	4	13	5	12	13	17	14	9	13	10	25	21	15	7	6	10	9	2	18
ENSMUSG00000044533	2058	2519	2179	3330	3245	1510	2238	1704	1907	3012	1854	1606	2319	2796	2407	3229	2295	1830	1541	2367	1584	1722
ENSMUSG00000068120	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000044538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027405	229	287	224	372	357	247	312	266	326	442	299	218	227	300	304	307	271	175	195	294	239	234
ENSMUSG00000027404	835	990	518	1039	974	334	546	450	983	970	811	772	660	815	1123	786	635	364	465	1116	825	423
ENSMUSG00000075167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027406	26624	28735	23085	36590	35824	19006	29428	20086	28434	37908	23764	22318	23365	31660	31133	28492	23818	17314	20153	36069	20188	18357
ENSMUSG00000027401	1	5	3	8	15	4	0	4	9	6	3	2	21	1	7	1	4	2	2	2	4	1
ENSMUSG00000027400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000027403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027409	0	0	3	0	0	1	0	0	0	0	2	3	0	0	0	1	1	0	0	0	0	0
ENSMUSG00000027408	41	24	47	28	66	12	35	50	75	79	28	79	41	46	25	30	26	15	22	87	52	86
ENSMUSG00000078350	29	40	27	42	49	21	17	33	60	89	47	45	32	38	38	49	27	16	22	35	40	37
ENSMUSG00000018209	700	764	605	936	1030	574	807	620	792	898	630	530	640	797	718	735	664	452	519	1022	585	594
ENSMUSG00000044288	6	0	6	1	1	6	10	5	7	1	6	6	10	9	2	5	5	2	9	12	3	9
ENSMUSG00000044285	57	71	48	69	76	56	110	65	74	59	51	42	63	60	79	58	48	44	42	101	63	50
ENSMUSG00000044286	0	2	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	3	1	2	0	2
ENSMUSG00000044287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006958	11	11	18	17	15	3	8	7	25	26	7	30	13	5	11	13	10	5	4	20	5	18
ENSMUSG00000087577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087575	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087574	484	598	484	811	730	331	280	242	519	565	382	335	514	674	560	548	532	373	357	749	295	358
ENSMUSG00000087571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087579	2	2	1	2	0	0	3	3	5	17	2	2	1	3	1	3	0	2	2	7	2	2
ENSMUSG00000087578	13	17	6	15	12	13	11	10	13	16	12	8	13	11	18	8	12	8	6	16	8	9
ENSMUSG00000058568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058569	555	802	470	865	867	358	642	397	830	834	731	624	544	700	884	700	559	322	453	972	622	480
ENSMUSG00000058567	2	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0
ENSMUSG00000073862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
