gene	078_coldM	083_coldM	088_coldM	093_coldM	095_coldM	099_coldM	081_coldF	084_coldF	085_coldF	087_coldF	092_coldF	094_coldF
ENSMUSG00000028180	1416	1030	964	846	1131	1067	1242	717	1087	1021	864	664
ENSMUSG00000028182	55	47	53	23	34	76	70	42	47	80	59	57
ENSMUSG00000028185	1164	853	697	941	1171	928	784	460	802	664	633	708
ENSMUSG00000028184	2033	1068	1326	1157	2083	1325	2271	887	1683	1793	1392	1544
ENSMUSG00000028187	771	523	545	541	824	787	686	372	608	614	506	484
ENSMUSG00000028186	43026	23766	22937	22411	27165	27817	30070	20126	27015	24751	17745	21765
ENSMUSG00000028189	263	125	175	227	284	189	285	185	301	286	257	339
ENSMUSG00000028188	47	29	28	38	26	60	57	32	43	40	46	47
ENSMUSG00000107279	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111376	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104925	1	3	1	2	1	2	3	0	0	1	2	4
ENSMUSG00000035429	0	0	0	1	0	1	0	0	2	1	1	0
ENSMUSG00000035427	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035420	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070074	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020755	410	343	338	330	513	407	442	259	396	402	303	480
ENSMUSG00000070076	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070077	0	0	0	1	0	0	0	0	1	0	0	0
ENSMUSG00000070071	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020752	370	330	304	257	410	274	478	255	429	375	278	394
ENSMUSG00000070073	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020758	23	19	12	15	17	13	33	20	25	38	20	25
ENSMUSG00000069833	645	615	487	698	1117	458	1237	532	890	937	657	835
ENSMUSG00000069830	2	3	3	4	0	4	4	2	0	4	3	2
ENSMUSG00000028238	13	8	8	14	24	11	76	31	60	111	83	85
ENSMUSG00000033862	409	298	301	319	411	242	409	234	358	338	251	327
ENSMUSG00000033863	5103	3065	4452	4085	3058	4303	3214	2562	4884	3864	2684	4046
ENSMUSG00000033860	67055	39643	43936	28305	36457	53200	47891	32432	48790	45796	32402	29431
ENSMUSG00000069835	213	122	129	198	215	155	253	139	201	219	162	235
ENSMUSG00000028233	452	416	321	297	453	444	489	278	464	418	413	362
ENSMUSG00000028232	144	108	115	90	151	127	115	74	135	130	102	112
ENSMUSG00000028236	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028234	2257	1336	1088	1104	1772	1022	1920	1091	1664	1483	1271	1537
ENSMUSG00000114974	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114975	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114976	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114977	11	5	5	4	8	0	12	3	6	7	16	4
ENSMUSG00000114970	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114971	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114972	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114973	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114978	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114979	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044537	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044534	112	80	136	101	145	111	224	77	120	92	118	186
ENSMUSG00000044533	4567	2851	2847	5744	10698	3070	3947	2316	3249	3459	3902	6772
ENSMUSG00000068120	0	0	0	1	0	0	0	0	1	0	5	0
ENSMUSG00000044538	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104750	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027405	372	479	304	268	475	370	408	210	385	335	325	304
ENSMUSG00000027404	1151	766	655	539	947	500	1017	677	952	818	693	814
ENSMUSG00000075167	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027406	5716	3083	3206	3795	5116	3824	4786	3159	4536	4192	3967	4168
ENSMUSG00000027401	0	0	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000027400	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027403	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075162	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027409	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000027408	23	13	15	10	26	9	23	2	14	22	29	28
ENSMUSG00000078350	74	48	46	42	55	15	48	25	61	57	38	43
ENSMUSG00000018209	979	612	627	624	935	692	858	504	793	702	651	776
ENSMUSG00000044288	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044285	109	84	94	60	45	139	100	54	110	85	63	58
ENSMUSG00000044286	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044287	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006958	78	96	73	90	137	62	117	83	107	98	74	104
ENSMUSG00000087577	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087575	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087574	104	92	87	143	195	69	171	118	171	180	136	151
ENSMUSG00000087571	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087570	1	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000087579	490	145	194	98	147	190	222	84	96	195	60	116
ENSMUSG00000087578	5	7	11	11	14	3	15	6	11	13	2	10
ENSMUSG00000058568	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058569	1781	1247	829	897	1423	703	1231	726	956	868	1114	780
ENSMUSG00000058567	0	4	0	1	1	0	0	0	1	1	0	3
ENSMUSG00000073862	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021583	3720	2251	2501	2503	3697	3064	3191	2036	3215	2870	2215	2848
ENSMUSG00000073860	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021587	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079800	2	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000021585	1173	814	814	924	1326	1026	1086	641	1049	954	829	850
ENSMUSG00000116536	5	6	7	0	2	3	8	4	2	7	4	1
ENSMUSG00000116537	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116534	0	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000021589	389	232	255	249	285	240	290	204	297	264	179	229
ENSMUSG00000116532	0	1	0	0	3	1	2	3	0	1	1	2
ENSMUSG00000116533	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079808	3	0	2	4	2	2	3	1	2	5	2	3
ENSMUSG00000116531	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118556	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084065	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118557	2	0	0	0	1	0	1	0	0	1	0	0
ENSMUSG00000106513	0	1	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000118554	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090497	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118555	5	5	1	1	5	3	2	0	1	4	5	1
ENSMUSG00000097309	16	27	30	22	28	24	28	18	23	25	16	24
ENSMUSG00000108892	1	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097264	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106512	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070075	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000115356	0	0	0	0	0	0	1	0	0	0	0	1
ENSMUSG00000030889	6	1	1	5	4	2	5	3	8	2	1	2
ENSMUSG00000030888	252	281	188	209	366	185	307	159	260	221	244	230
ENSMUSG00000086190	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086191	1	2	4	1	2	0	1	0	2	0	1	2
ENSMUSG00000086196	0	1	0	1	3	0	3	1	0	0	0	0
ENSMUSG00000086197	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086194	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079033	0	0	0	0	1	1	2	1	1	3	2	1
ENSMUSG00000030881	252	360	220	195	344	255	293	174	270	265	275	283
ENSMUSG00000026753	1695	1161	1054	1023	1571	1160	1502	780	1265	1288	1139	1156
ENSMUSG00000026750	1530	777	867	1085	1586	664	1240	718	1022	1002	1181	1288
ENSMUSG00000030882	49	90	53	52	110	54	106	47	84	80	80	85
ENSMUSG00000030884	6082	3487	3539	3746	5474	3742	5231	3373	4953	4630	4221	4348
ENSMUSG00000026754	695	652	574	510	937	743	830	460	656	696	588	643
ENSMUSG00000026755	1060	618	698	600	749	661	870	574	734	771	695	540
ENSMUSG00000007338	902	613	510	487	725	659	845	469	661	667	595	575
ENSMUSG00000070072	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093363	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059213	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093362	0	0	0	0	0	0	0	0	0	0	0	0
