gene	079_warmM	082_warmM	086_warmM	090_warmM	097_warmM	098_warmM	080_warmF	089_warmF	091_warmF	096_warmF
ENSMUSG00000028180	1231	1704	856	1128	996	883	656	715	944	723
ENSMUSG00000028182	60	69	33	53	50	49	39	45	55	43
ENSMUSG00000028185	1096	1396	798	1067	969	1127	564	687	864	687
ENSMUSG00000028184	1878	2243	1273	1379	1432	938	1230	1632	2055	1491
ENSMUSG00000028187	758	882	510	718	829	747	402	396	526	476
ENSMUSG00000028186	37520	45333	30071	33503	27136	28083	20724	23873	29606	20941
ENSMUSG00000028189	299	339	185	263	233	215	275	289	354	264
ENSMUSG00000028188	49	54	36	53	32	35	29	53	50	47
ENSMUSG00000107279	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000111376	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104925	1	0	0	1	1	2	1	2	0	0
ENSMUSG00000035429	0	1	0	0	0	1	0	1	0	0
ENSMUSG00000035427	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000035420	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070074	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020755	441	630	291	387	417	408	303	356	391	359
ENSMUSG00000070076	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070077	1	0	2	0	0	0	0	0	0	0
ENSMUSG00000070071	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020752	423	660	348	376	298	242	261	388	427	238
ENSMUSG00000070073	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020758	25	50	23	17	23	14	24	21	23	21
ENSMUSG00000069833	703	1165	579	859	501	525	501	925	1179	816
ENSMUSG00000069830	12	4	3	8	3	1	3	8	8	5
ENSMUSG00000028238	14	13	15	8	15	19	111	194	160	144
ENSMUSG00000033862	441	602	322	449	323	255	227	307	445	316
ENSMUSG00000033863	3941	6678	4158	4590	3366	4348	3096	2965	4433	3672
ENSMUSG00000033860	70977	94041	46613	67149	85755	58707	37472	40129	44734	34365
ENSMUSG00000069835	238	261	167	203	149	167	143	245	215	183
ENSMUSG00000028233	500	562	330	409	429	387	352	317	369	328
ENSMUSG00000028232	152	174	100	139	118	117	107	76	132	86
ENSMUSG00000028236	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000028234	1914	3142	1311	2067	1303	1159	1060	2029	2661	1203
ENSMUSG00000114974	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114975	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114976	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114977	4	21	13	21	8	3	7	8	13	0
ENSMUSG00000114970	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114971	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114972	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114973	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114978	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000114979	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044537	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044534	85	132	53	81	69	106	89	139	189	102
ENSMUSG00000044533	4081	5384	2690	4016	3677	3612	2292	4637	5725	5806
ENSMUSG00000068120	1	0	0	4	0	1	0	1	1	5
ENSMUSG00000044538	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104750	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027405	483	592	313	409	460	367	238	236	361	303
ENSMUSG00000027404	1012	1311	771	947	562	473	581	912	1004	599
ENSMUSG00000075167	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027406	4932	5945	3188	4520	3869	3873	3047	3853	5002	3393
ENSMUSG00000027401	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027400	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027403	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000075162	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027409	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000027408	31	24	16	18	14	13	17	29	29	16
ENSMUSG00000078350	62	80	55	61	22	48	27	55	76	40
ENSMUSG00000018209	850	1024	541	814	672	604	573	642	785	626
ENSMUSG00000044288	0	3	0	1	1	0	0	0	1	1
ENSMUSG00000044285	127	136	48	60	82	43	68	69	71	97
ENSMUSG00000044286	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000044287	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000006958	103	190	98	100	74	46	37	139	132	56
ENSMUSG00000087577	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087575	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087574	98	159	82	105	87	97	73	155	205	132
ENSMUSG00000087571	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087570	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087579	505	1125	415	693	274	188	232	485	387	274
ENSMUSG00000087578	5	17	10	11	6	3	5	23	16	6
ENSMUSG00000058568	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000058569	1627	2374	1075	1606	902	695	585	777	1253	612
ENSMUSG00000058567	0	3	0	0	1	0	0	0	0	1
ENSMUSG00000073862	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021583	3613	4570	2510	3406	2950	2945	2209	2439	3162	2959
ENSMUSG00000073860	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021587	1	0	0	0	0	0	0	1	1	0
ENSMUSG00000079800	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021585	1144	1428	826	1119	1043	931	731	742	1065	841
ENSMUSG00000116536	4	15	3	2	2	1	2	6	10	0
ENSMUSG00000116537	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000116534	0	0	1	0	0	1	1	0	0	1
ENSMUSG00000021589	285	441	264	328	224	208	186	241	371	232
ENSMUSG00000116532	0	3	1	5	5	1	3	2	5	2
ENSMUSG00000116533	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079808	2	3	1	3	0	2	1	3	5	7
ENSMUSG00000116531	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118556	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084065	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118557	1	2	3	2	0	0	0	0	3	0
ENSMUSG00000106513	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118554	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090497	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118555	3	8	4	5	5	5	1	5	3	1
ENSMUSG00000097309	15	35	12	31	23	22	10	22	28	21
ENSMUSG00000108892	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000097264	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106512	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000070075	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000115356	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000030889	3	6	6	4	0	5	0	1	9	3
ENSMUSG00000030888	282	318	183	227	187	195	170	197	187	218
ENSMUSG00000086190	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086191	3	0	3	0	2	0	0	0	2	1
ENSMUSG00000086196	0	0	1	1	2	2	0	4	0	6
ENSMUSG00000086197	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086194	0	1	0	1	0	0	0	0	0	0
ENSMUSG00000079033	1	3	1	0	1	0	1	0	2	0
ENSMUSG00000030881	245	415	232	317	208	234	149	261	285	195
ENSMUSG00000026753	1696	1928	1016	1374	1162	1038	913	918	1270	982
ENSMUSG00000026750	1325	1585	779	1147	803	725	734	928	1454	1024
ENSMUSG00000030882	67	136	78	61	69	41	32	82	103	52
ENSMUSG00000030884	5520	6307	3542	5113	3539	3420	3303	4152	5391	3452
ENSMUSG00000026754	726	1030	545	741	702	602	412	545	661	561
ENSMUSG00000026755	1008	1209	694	851	613	593	504	532	718	497
ENSMUSG00000007338	773	1016	507	651	590	568	498	627	690	468
ENSMUSG00000070072	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093363	0	1	0	0	0	0	0	0	0	0
