	condition	population	sex	temperature	sample
MBSD_002.counts	LIVER	Brazil	M	Warm	01
MBSD_003.counts	LIVER	Brazil	M	Warm	02
MBSD_009.counts	LIVER	Brazil	M	Warm	03
MBSD_012.counts	LIVER	Brazil	M	Warm	04
MBSD_013.counts	LIVER	Brazil	M	Warm	05
MBSD_022.counts	LIVER	Brazil	M	Warm	06
MBSD_004.counts	LIVER	Brazil	F	Warm	07
MBSD_006.counts	LIVER	Brazil	F	Warm	08
MBSD_008.counts	LIVER	Brazil	F	Warm	09
MBSD_010.counts	LIVER	Brazil	F	Warm	10
MBSD_017.counts	LIVER	Brazil	F	Warm	11
MBSD_019.counts	LIVER	Brazil	F	Warm	12
MBSD_005.counts	LIVER	Brazil	M	Cold	13
MBSD_007.counts	LIVER	Brazil	M	Cold	14
MBSD_011.counts	LIVER	Brazil	M	Cold	15
MBSD_015.counts	LIVER	Brazil	M	Cold	16
MBSD_020.counts	LIVER	Brazil	M	Cold	17
MBSD_024.counts	LIVER	Brazil	M	Cold	18
MBSD_001.counts	LIVER	Brazil	F	Cold	19
MBSD_014.counts	LIVER	Brazil	F	Cold	20
MBSD_016.counts	LIVER	Brazil	F	Cold	21
MBSD_018.counts	LIVER	Brazil	F	Cold	22
MBSD_021.counts	LIVER	Brazil	F	Cold	23
MBSD_023.counts	LIVER	Brazil	F	Cold	24
MBSD_055.counts	LIVER	NewYork	M	Warm	25
MBSD_061.counts	LIVER	NewYork	M	Warm	26
MBSD_065.counts	LIVER	NewYork	M	Warm	27
MBSD_072.counts	LIVER	NewYork	M	Warm	28
MBSD_075.counts	LIVER	NewYork	M	Warm	29
MBSD_077.counts	LIVER	NewYork	M	Warm	30
MBSD_054.counts	LIVER	NewYork	F	Warm	31
MBSD_056.counts	LIVER	NewYork	F	Warm	32
MBSD_062.counts	LIVER	NewYork	F	Warm	33
MBSD_068.counts	LIVER	NewYork	F	Warm	34
MBSD_073.counts	LIVER	NewYork	F	Warm	35
MBSD_076.counts	LIVER	NewYork	F	Warm	36
MBSD_057.counts	LIVER	NewYork	M	Cold	37
MBSD_059.counts	LIVER	NewYork	M	Cold	38
MBSD_063.counts	LIVER	NewYork	M	Cold	39
MBSD_067.counts	LIVER	NewYork	M	Cold	40
MBSD_069.counts	LIVER	NewYork	M	Cold	41
MBSD_074.counts	LIVER	NewYork	M	Cold	42
MBSD_058.counts	LIVER	NewYork	F	Cold	43
MBSD_060.counts	LIVER	NewYork	F	Cold	44
MBSD_064.counts	LIVER	NewYork	F	Cold	45
MBSD_066.counts	LIVER	NewYork	F	Cold	46
MBSD_070.counts	LIVER	NewYork	F	Cold	47
MBSD_071.counts	LIVER	NewYork	F	Cold	48
MBSD_101.counts	BAT	Brazil	M	Warm	01
MBSD_102.counts	BAT	Brazil	M	Warm	02
MBSD_108.counts	BAT	Brazil	M	Warm	03
MBSD_111.counts	BAT	Brazil	M	Warm	04
MBSD_112.counts	BAT	Brazil	M	Warm	05
MBSD_121.counts	BAT	Brazil	M	Warm	06
MBSD_103.counts	BAT	Brazil	F	Warm	07
MBSD_105.counts	BAT	Brazil	F	Warm	08
MBSD_107.counts	BAT	Brazil	F	Warm	09
MBSD_109.counts	BAT	Brazil	F	Warm	10
MBSD_116.counts	BAT	Brazil	F	Warm	11
MBSD_118.counts	BAT	Brazil	F	Warm	12
MBSD_104.counts	BAT	Brazil	M	Cold	13
MBSD_106.counts	BAT	Brazil	M	Cold	14
MBSD_110.counts	BAT	Brazil	M	Cold	15
MBSD_114.counts	BAT	Brazil	M	Cold	16
MBSD_119.counts	BAT	Brazil	M	Cold	17
MBSD_123.counts	BAT	Brazil	M	Cold	18
MBSD_100.counts	BAT	Brazil	F	Cold	19
MBSD_113.counts	BAT	Brazil	F	Cold	20
MBSD_115.counts	BAT	Brazil	F	Cold	21
MBSD_117.counts	BAT	Brazil	F	Cold	22
MBSD_120.counts	BAT	Brazil	F	Cold	23
MBSD_122.counts	BAT	Brazil	F	Cold	24
MBSD_154.counts	BAT	NewYork	M	Warm	25
MBSD_160.counts	BAT	NewYork	M	Warm	26
MBSD_164.counts	BAT	NewYork	M	Warm	27
MBSD_171.counts	BAT	NewYork	M	Warm	28
MBSD_174.counts	BAT	NewYork	M	Warm	29
MBSD_176.counts	BAT	NewYork	M	Warm	30
MBSD_153.counts	BAT	NewYork	F	Warm	31
MBSD_155.counts	BAT	NewYork	F	Warm	32
MBSD_161.counts	BAT	NewYork	F	Warm	33
MBSD_167.counts	BAT	NewYork	F	Warm	34
MBSD_172.counts	BAT	NewYork	F	Warm	35
MBSD_175.counts	BAT	NewYork	F	Warm	36
MBSD_156.counts	BAT	NewYork	M	Cold	37
MBSD_158.counts	BAT	NewYork	M	Cold	38
MBSD_162.counts	BAT	NewYork	M	Cold	39
MBSD_166.counts	BAT	NewYork	M	Cold	40
MBSD_168.counts	BAT	NewYork	M	Cold	41
MBSD_173.counts	BAT	NewYork	M	Cold	42
MBSD_157.counts	BAT	NewYork	F	Cold	43
MBSD_159.counts	BAT	NewYork	F	Cold	44
MBSD_163.counts	BAT	NewYork	F	Cold	45
MBSD_165.counts	BAT	NewYork	F	Cold	46
MBSD_169.counts	BAT	NewYork	F	Cold	47
MBSD_170.counts	BAT	NewYork	F	Cold	48
