	condition	population	sex	temperature
080_warmF	LIVER	F1	F	Warm
089_warmF	LIVER	F1	F	Warm
091_warmF	LIVER	F1	F	Warm
096_warmF	LIVER	F1	F	Warm
081_coldF	LIVER	F1	F	Cold
084_coldF	LIVER	F1	F	Cold
085_coldF	LIVER	F1	F	Cold
087_coldF	LIVER	F1	F	Cold
092_coldF	LIVER	F1	F	Cold
094_coldF	LIVER	F1	F	Cold
191_coldF	BAT	F1	F	Cold
193_coldF	BAT	F1	F	Cold
180_coldF	BAT	F1	F	Cold
183_coldF	BAT	F1	F	Cold
184_coldF	BAT	F1	F	Cold
186_coldF	BAT	F1	F	Cold
179_warmF	BAT	F1	F	Warm
188_warmF	BAT	F1	F	Warm
190_warmF	BAT	F1	F	Warm
195_warmF	BAT	F1	F	Warm
MBSD_004.counts	LIVER	Brazil	F	Warm
MBSD_006.counts	LIVER	Brazil	F	Warm
MBSD_008.counts	LIVER	Brazil	F	Warm
MBSD_010.counts	LIVER	Brazil	F	Warm
MBSD_017.counts	LIVER	Brazil	F	Warm
MBSD_019.counts	LIVER	Brazil	F	Warm
MBSD_001.counts	LIVER	Brazil	F	Cold
MBSD_014.counts	LIVER	Brazil	F	Cold
MBSD_016.counts	LIVER	Brazil	F	Cold
MBSD_018.counts	LIVER	Brazil	F	Cold
MBSD_021.counts	LIVER	Brazil	F	Cold
MBSD_023.counts	LIVER	Brazil	F	Cold
MBSD_054.counts	LIVER	NewYork	F	Warm
MBSD_056.counts	LIVER	NewYork	F	Warm
MBSD_062.counts	LIVER	NewYork	F	Warm
MBSD_068.counts	LIVER	NewYork	F	Warm
MBSD_073.counts	LIVER	NewYork	F	Warm
MBSD_076.counts	LIVER	NewYork	F	Warm
MBSD_058.counts	LIVER	NewYork	F	Cold
MBSD_060.counts	LIVER	NewYork	F	Cold
MBSD_064.counts	LIVER	NewYork	F	Cold
MBSD_066.counts	LIVER	NewYork	F	Cold
MBSD_070.counts	LIVER	NewYork	F	Cold
MBSD_071.counts	LIVER	NewYork	F	Cold
MBSD_103.counts	BAT	Brazil	F	Warm
MBSD_105.counts	BAT	Brazil	F	Warm
MBSD_107.counts	BAT	Brazil	F	Warm
MBSD_109.counts	BAT	Brazil	F	Warm
MBSD_116.counts	BAT	Brazil	F	Warm
MBSD_118.counts	BAT	Brazil	F	Warm
MBSD_100.counts	BAT	Brazil	F	Cold
MBSD_113.counts	BAT	Brazil	F	Cold
MBSD_115.counts	BAT	Brazil	F	Cold
MBSD_117.counts	BAT	Brazil	F	Cold
MBSD_120.counts	BAT	Brazil	F	Cold
MBSD_122.counts	BAT	Brazil	F	Cold
MBSD_153.counts	BAT	NewYork	F	Warm
MBSD_155.counts	BAT	NewYork	F	Warm
MBSD_161.counts	BAT	NewYork	F	Warm
MBSD_167.counts	BAT	NewYork	F	Warm
MBSD_172.counts	BAT	NewYork	F	Warm
MBSD_175.counts	BAT	NewYork	F	Warm
MBSD_157.counts	BAT	NewYork	F	Cold
MBSD_159.counts	BAT	NewYork	F	Cold
MBSD_163.counts	BAT	NewYork	F	Cold
MBSD_165.counts	BAT	NewYork	F	Cold
MBSD_169.counts	BAT	NewYork	F	Cold
MBSD_170.counts	BAT	NewYork	F	Cold
