	condition	population	sex	temperature
079_warmM	LIVER	F1	M	Warm
082_warmM	LIVER	F1	M	Warm
086_warmM	LIVER	F1	M	Warm
090_warmM	LIVER	F1	M	Warm
097_warmM	LIVER	F1	M	Warm
098_warmM	LIVER	F1	M	Warm
078_coldM	LIVER	F1	M	Cold
083_coldM	LIVER	F1	M	Cold
088_coldM	LIVER	F1	M	Cold
093_coldM	LIVER	F1	M	Cold
095_coldM	LIVER	F1	M	Cold
099_coldM	LIVER	F1	M	Cold
177_coldM	BAT	F1	M	Cold
182_coldM	BAT	F1	M	Cold
187_coldM	BAT	F1	M	Cold
192_coldM	BAT	F1	M	Cold
194_coldM	BAT	F1	M	Cold
198_coldM	BAT	F1	M	Cold
196_warmM	BAT	F1	M	Warm
197_warmM	BAT	F1	M	Warm
189_warmM	BAT	F1	M	Warm
185_warmM	BAT	F1	M	Warm
178_warmM	BAT	F1	M	Warm
181_warmM	BAT	F1	M	Warm
MBSD_002.counts	LIVER	Brazil	M	Warm
MBSD_003.counts	LIVER	Brazil	M	Warm
MBSD_009.counts	LIVER	Brazil	M	Warm
MBSD_012.counts	LIVER	Brazil	M	Warm
MBSD_013.counts	LIVER	Brazil	M	Warm
MBSD_022.counts	LIVER	Brazil	M	Warm
MBSD_005.counts	LIVER	Brazil	M	Cold
MBSD_007.counts	LIVER	Brazil	M	Cold
MBSD_011.counts	LIVER	Brazil	M	Cold
MBSD_015.counts	LIVER	Brazil	M	Cold
MBSD_020.counts	LIVER	Brazil	M	Cold
MBSD_024.counts	LIVER	Brazil	M	Cold
MBSD_055.counts	LIVER	NewYork	M	Warm
MBSD_061.counts	LIVER	NewYork	M	Warm
MBSD_065.counts	LIVER	NewYork	M	Warm
MBSD_072.counts	LIVER	NewYork	M	Warm
MBSD_075.counts	LIVER	NewYork	M	Warm
MBSD_077.counts	LIVER	NewYork	M	Warm
MBSD_057.counts	LIVER	NewYork	M	Cold
MBSD_059.counts	LIVER	NewYork	M	Cold
MBSD_063.counts	LIVER	NewYork	M	Cold
MBSD_067.counts	LIVER	NewYork	M	Cold
MBSD_069.counts	LIVER	NewYork	M	Cold
MBSD_074.counts	LIVER	NewYork	M	Cold
MBSD_101.counts	BAT	Brazil	M	Warm
MBSD_102.counts	BAT	Brazil	M	Warm
MBSD_108.counts	BAT	Brazil	M	Warm
MBSD_111.counts	BAT	Brazil	M	Warm
MBSD_112.counts	BAT	Brazil	M	Warm
MBSD_121.counts	BAT	Brazil	M	Warm
MBSD_104.counts	BAT	Brazil	M	Cold
MBSD_106.counts	BAT	Brazil	M	Cold
MBSD_110.counts	BAT	Brazil	M	Cold
MBSD_114.counts	BAT	Brazil	M	Cold
MBSD_119.counts	BAT	Brazil	M	Cold
MBSD_123.counts	BAT	Brazil	M	Cold
MBSD_154.counts	BAT	NewYork	M	Warm
MBSD_160.counts	BAT	NewYork	M	Warm
MBSD_164.counts	BAT	NewYork	M	Warm
MBSD_171.counts	BAT	NewYork	M	Warm
MBSD_174.counts	BAT	NewYork	M	Warm
MBSD_176.counts	BAT	NewYork	M	Warm
MBSD_156.counts	BAT	NewYork	M	Cold
MBSD_158.counts	BAT	NewYork	M	Cold
MBSD_162.counts	BAT	NewYork	M	Cold
MBSD_166.counts	BAT	NewYork	M	Cold
MBSD_168.counts	BAT	NewYork	M	Cold
MBSD_173.counts	BAT	NewYork	M	Cold
