DOB,DateMeasured,Age_days,Age_weeks,Population,Generation,Line,Mouse_ID,Sex,Environment,TotalLength_mm,TailLength_mm,HindFootLength_mm,EarLength_mm,BodyWeight_g,WeaningBodyWeight_g,WeaningTailLength_mm,StartExpBodyWeight_g,StartExpTailLength_mm,FinalTailLength_mm,BodyLength_mm,BMI_kg_m2,BAT_mass_g,
6/9/18,8/25/18,77,11,BRAZIL,N12,222x254,222x254_BZ1,F,COLD,156,70,17,13,13.49,6.01,56,8.28,63,70,86,1.823958897,,
6/9/18,8/25/18,77,11,BRAZIL,N12,222x254,222x254_BZ2,M,COLD,163,76,17,13,15.81,5.96,56,8.72,65,76,87,2.088783195,,
6/9/18,8/25/18,77,11,BRAZIL,N12,222x254,222x254_BZ3,F,RT,163,78,17,18,13.48,4.82,54.5,7.73,60,78,85,1.865743945,,
7/20/18,10/9/18,81,11.57142857,BRAZIL,N12,222x254,222x254_BZ5,F,RT,169,81,18,,13.34,,,8.25,67,82,87,1.762452107,,
7/20/18,10/9/18,81,11.57142857,BRAZIL,N12,222x254,222x254_BZ7,F,COLD,153.5,74,16,12,12.36,,,7.3,66.5,74,79.5,1.955618844,,
7/20/18,10/9/18,81,11.57142857,BRAZIL,N12,222x254,222x254_BZ9,F,COLD,162,78,18,13,13.96,,,8.16,66.5,78,84,1.97845805,,
7/20/18,10/9/18,81,11.57142857,BRAZIL,N12,222x254,222x254_BZ4,M,RT,166.5,80,17,12.5,14.9,,,9.14,66,79.5,87,1.968555952,,
8/12/18,10/27/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ11,F,RT,158,75,17,13,11.96,6.6,57,7.93,61,75,83,1.736101031,,
8/12/18,10/27/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ13,F,COLD,161,74.5,17.5,13,13.04,7.05,62,8.08,63.5,73,88,1.683884298,,
8/12/18,10/27/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ15,F,COLD,155,74,17,13,12.76,6.5,58.5,7.52,61.5,74,81,1.944825484,,
8/12/18,10/27/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ6,M,RT,162,82,17,14,15.71,7.66,62.5,9.25,66,81.5,80.5,2.424289186,,
8/12/18,10/27/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ8,M,RT,166,77.5,17,13,14.01,7.02,59.5,8.89,63.5,77.5,88.5,1.78875802,,
8/12/18,10/27/18,76,10.85714286,BRAZIL,N12,222x254,222x254_BZ10,M,COLD,165,79,18,13,14.85,8.17,63,9.5,66.5,78.5,86.5,1.984697117,,
7/17/18,9/29/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ1,F,COLD,148,72.5,17,13,10.89,5.81,60,7.16,63,72.5,75.5,1.910442524,,
7/17/18,9/29/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ2,M,RT,145,75.5,17,13.5,10.35,4.62,54,5.57,55.5,76,69,2.173913043,,
7/17/18,9/29/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ4,M,RT,164.5,85,17.5,14.5,14.42,5.88,60,6.79,63.5,83,81.5,2.170951108,,
7/17/18,9/29/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ6,M,COLD,148,71.5,17,13.5,12.52,6.06,62,7.58,64.5,73,75,2.225777778,,
8/13/18,10/27/18,75,10.71428571,BRAZIL,N11,193x255,193x255_BZ3,F,COLD,143,74,17,14,10.95,6,60,6.51,63,72.5,70.5,2.203108496,,
8/13/18,10/27/18,75,10.71428571,BRAZIL,N11,193x255,193x255_BZ5,F,RT,144,74.5,17,14,9.38,5.26,56.5,5.82,59.5,74.5,69.5,1.941928472,,
8/13/18,10/27/18,75,10.71428571,BRAZIL,N11,193x255,193x255_BZ7,F,RT,158,81,17.5,14,12.03,6.54,62,7.18,65,81,77,2.029009951,,
8/13/18,10/27/18,75,10.71428571,BRAZIL,N11,193x255,193x255_BZ8,M,COLD,150.5,77,18,14,12.92,6.42,61.5,7.02,65.5,76,74.5,2.327823071,,
8/13/18,10/27/18,75,10.71428571,BRAZIL,N11,193x255,193x255_BZ9,F,RT,157.5,79.5,17,15,11.39,6.44,61.5,6.67,64,79.5,78,1.872123603,,
9/8/18,11/21/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ11,F,RT,149,80.5,17,14,10.71,5.92,58,6.93,61,79.5,69.5,2.217276538,,
9/8/18,11/21/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ10,M,RT,151.5,78.5,17,14,12.78,5.49,53,6.91,57,78.5,73,2.398198536,,
9/8/18,11/21/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ12,M,COLD,149,77,17,13.5,13.18,5.61,56,6.91,60,76,73,2.473259523,,
9/8/18,11/21/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ14,M,RT,150,78,17.5,14,10.96,5.5,55,6.21,58.5,78,72,2.114197531,,
9/8/18,11/21/18,74,10.57142857,BRAZIL,N11,193x255,193x255_BZ13,M,COLD,146,72,17,13,11.59,5.04,55,5.85,56.5,70.5,75.5,2.033244156,,
10/29/18,1/16/19,79,11.28571429,BRAZIL,N11,193x255,193x255_BZ19,F,COLD,143,72,17,13,10.86,6.36,,7.26,62,71,72,2.094907407,,
