Full_ID,Generation,DOB,DOD,Age_days,TotalLength_mm,TailLength_mm,HindFootLength_mm,EarLength_mm,BodyWeight_g,FinalTailLength_mm,Short_ID,Sex,Population,Environment,Dorsal_fur_depth,Dorsal_fur_length,AVG_conductance,STD_conductance,Conductivity
193x255_BZ22,,,,,,,,,,,BZ22,M,BRAZIL,RT,0.0005,0.0035,22.71967732,0.614282571,0.011359839
193x255_BZ34,N13,4/22/19,7/7/19,76,165,78.5,18,14,13.89,80,BZ34,M,BRAZIL,RT,0.001,0.004,20.78749239,0.852443648,0.020787492
193x255_BZ35,N13,4/17/19,7/17/19,91,142,68,17,14,11.37,,BZ35,F,BRAZIL,RT,0.0005,0.004,25.93390936,0.775220168,0.012966955
193x255_BZ36,N13,4/22/19,7/17/19,86,157.5,80,18,14,11.8,79.5,BZ36,M,BRAZIL,RT,0.0005,0.0035,20.23788876,0.711282088,0.010118944
193x255_BZ37,N13,4/17/19,7/7/19,81,153,78,17,15,12.21,77,BZ37,F,BRAZIL,RT,0.0005,0.0035,24.58818194,0.716289394,0.012294091
193x255_BZ38_2,,,,,,,,,,,BZ38_2nd,M,BRAZIL,RT,0.001,0.004,22.01335691,0.5975654,0.022013357
193x255_BZ40,,,,,,,,,,,BZ40,M,BRAZIL,RT,0.0005,0.004,21.17911679,0.571652743,0.010589558
193x255_BZ42,,,,,,,,,,,BZ42,M,BRAZIL,RT,0.0005,0.0045,18.6988254,0.694979301,0.009349413
193x255_BZ43,N13,4/22/19,7/17/19,86,155.5,78,17.5,14.5,11.23,78,BZ43,F,BRAZIL,RT,0.0005,0.004,25.58846078,0.840934823,0.01279423
193x255_BZ46,N14,4/30/19,11/23/19,207,175,92.5,18,15,16.49,92.5,BZ46,M,BRAZIL,RT,0.001,0.004,22.53559975,0.702420943,0.0225356
193x255_BZ48,N13,8/5/19,11/23/19,110,166,82,17.5,14,14.05,82,BZ48,M,BRAZIL,RT,0.0005,0.003,25.54837755,0.687621161,0.012774189
193x255_BZ50,N14,4/30/19,11/23/19,207,177,90,18,16,15.9,90,BZ50,M,BRAZIL,RT,0.001,0.004,21.14402696,0.545079518,0.021144027
193x255_FMM716,N12,6/29/18,9/29/19,457,181,92.5,18.5,15.5,18.08,92.5,FMM716,M,BRAZIL,RT,0.0005,0.004,22.08458776,0.682768039,0.011042294
193x255_FMM717,N12,6/29/18,9/29/19,457,180,90,18,14.5,16.42,90,FMM717,F,BRAZIL,RT,0.001,0.002,23.79452558,0.717575283,0.023794526
